"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jul-2024","EQ","698.05","745.00","696.55","698.05","727.80","724.95","729.02","895.85","235.85","1,11,21,466","8,10,77,60,393.50","2,21,895"
"08-Jul-2024","EQ","709.90","712.55","693.00","708.90","697.70","698.05","699.86","895.85","235.85","33,15,411","2,32,03,16,572.35","1,03,827"
"05-Jul-2024","EQ","712.00","714.60","706.50","712.25","709.25","708.90","710.22","895.85","235.85","21,30,002","1,51,27,75,919.80","60,886"
"04-Jul-2024","EQ","717.00","718.90","710.00","715.25","711.90","712.25","714.54","895.85","235.85","20,57,045","1,46,98,34,488.25","51,813"
"03-Jul-2024","EQ","716.00","721.95","711.00","710.60","715.85","715.25","715.27","895.85","235.85","19,23,993","1,37,61,72,283.55","54,628"
"02-Jul-2024","EQ","717.00","733.00","708.20","717.45","711.00","710.60","720.30","895.85","235.85","45,95,657","3,31,02,48,963.50","1,10,086"
"01-Jul-2024","EQ","717.00","722.90","712.65","718.60","715.95","717.45","717.83","895.85","235.85","34,33,119","2,46,44,00,561.70","63,544"
"28-Jun-2024","EQ","719.70","728.20","714.75","715.70","717.00","718.60","721.32","895.85","231.00","1,02,94,456","7,42,56,03,043.45","1,12,174"
"27-Jun-2024","EQ","722.95","727.95","710.00","719.90","717.00","715.70","716.46","895.85","231.00","77,77,502","5,57,23,03,209.20","79,436"
"26-Jun-2024","EQ","724.05","730.90","718.00","725.30","719.60","719.90","723.31","895.85","231.00","62,34,248","4,50,92,72,810.75","71,425"
"25-Jun-2024","EQ","740.90","742.40","723.80","738.45","724.90","725.30","732.40","895.85","231.00","68,24,812","4,99,84,58,971.65","62,380"
"24-Jun-2024","EQ","727.95","744.80","720.00","733.65","738.00","738.45","735.42","895.85","231.00","77,41,654","5,69,33,58,364.20","67,752"
"21-Jun-2024","EQ","743.15","744.10","730.05","743.35","734.00","733.65","739.92","895.85","231.00","73,25,293","5,42,01,37,474.35","63,986"
"20-Jun-2024","EQ","743.05","747.30","734.20","738.65","741.50","743.35","743.72","895.85","231.00","71,68,834","5,33,16,10,243.35","55,751"
"19-Jun-2024","EQ","749.10","749.95","720.00","748.15","740.15","738.65","731.40","895.85","231.00","54,77,588","4,00,63,16,999.70","1,29,114"
"18-Jun-2024","EQ","757.80","758.50","740.10","746.75","748.00","748.15","749.57","895.85","231.00","73,98,418","5,54,56,18,443.10","77,865"
"14-Jun-2024","EQ","756.70","758.00","745.20","753.80","746.00","746.75","750.02","895.85","231.00","1,06,38,477","7,97,91,04,263.10","80,753"
"13-Jun-2024","EQ","765.00","769.70","750.00","762.20","753.00","753.80","755.05","895.85","231.00","87,12,685","6,57,85,28,721.80","84,126"
"12-Jun-2024","EQ","764.05","768.80","754.60","762.85","760.30","762.20","761.05","895.85","231.00","75,19,233","5,72,25,27,430.30","81,285"
"11-Jun-2024","EQ","775.00","779.70","760.00","769.70","763.00","762.85","766.99","895.85","231.00","37,51,359","2,87,72,62,950.15","82,300"
"10-Jun-2024","EQ","783.00","811.00","768.00","767.05","770.00","769.70","785.44","895.85","231.00","61,74,014","4,84,93,03,908.75","1,21,759"
