"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Jul-2024","EQ","63.10","64.12","62.47","63.87","63.65","63.73","63.48","346.85","59.30","15,85,634","10,06,54,802.53","13,473"
"19-Jul-2024","EQ","65.10","65.20","63.60","64.78","63.81","63.87","64.12","346.85","59.30","21,91,130","14,05,04,168.41","16,424"
"18-Jul-2024","EQ","63.94","66.25","63.65","63.90","64.90","64.78","65.35","346.85","59.30","79,70,699","52,08,99,085.95","34,311"
"16-Jul-2024","EQ","64.11","64.30","63.60","63.83","63.96","63.90","63.86","346.85","59.30","12,52,104","7,99,62,760.25","8,982"
"15-Jul-2024","EQ","64.60","64.99","63.48","64.53","63.80","63.83","63.92","346.85","59.30","18,94,712","12,11,09,012.25","12,602"
"12-Jul-2024","EQ","65.60","66.16","64.25","65.27","64.35","64.53","65.24","346.85","59.30","28,20,112","18,39,94,895.66","20,504"
"11-Jul-2024","EQ","63.50","66.36","63.26","63.40","65.28","65.27","65.53","346.85","59.30","98,59,610","64,61,40,790.89","39,950"
"10-Jul-2024","EQ","64.88","64.88","62.59","64.56","63.43","63.40","63.55","346.85","59.30","22,16,375","14,08,51,377.69","19,265"
"09-Jul-2024","EQ","64.15","65.30","64.09","64.09","64.55","64.56","64.73","346.85","59.30","23,69,150","15,33,45,972.84","23,736"
"08-Jul-2024","EQ","64.50","64.79","63.54","64.46","64.09","64.09","64.10","346.85","59.30","27,56,594","17,67,08,362.34","19,778"
"05-Jul-2024","EQ","64.68","64.99","63.32","64.17","64.40","64.46","64.24","346.85","59.30","35,31,499","22,68,46,060.08","21,099"
"04-Jul-2024","EQ","62.00","66.00","62.00","61.91","64.25","64.17","64.32","346.85","59.30","1,25,78,519","80,90,20,327.10","49,933"
"03-Jul-2024","EQ","62.48","62.48","61.60","61.91","61.93","61.91","61.96","346.85","59.30","17,88,181","11,07,95,480.68","10,196"
"02-Jul-2024","EQ","62.79","62.79","61.65","62.09","61.91","61.91","61.97","346.85","59.30","25,28,982","15,67,12,651.86","14,160"
"01-Jul-2024","EQ","60.89","63.00","60.55","60.50","62.13","62.09","61.82","346.85","59.30","61,43,411","37,98,03,062.11","28,345"
"28-Jun-2024","EQ","60.00","60.75","59.84","59.94","60.55","60.50","60.27","346.85","59.30","41,17,133","24,81,23,380.74","17,905"
"27-Jun-2024","EQ","60.20","60.30","59.30","59.97","59.92","59.94","59.85","346.85","59.30","40,39,547","24,17,51,698.52","22,628"
"26-Jun-2024","EQ","60.60","60.90","59.90","60.01","60.00","59.97","60.20","346.85","59.88","40,67,490","24,48,51,438.00","20,561"
"25-Jun-2024","EQ","60.85","62.05","59.88","59.99","60.02","60.01","60.85","346.85","59.88","76,84,044","46,75,64,225.53","34,473"
"24-Jun-2024","EQ","61.75","62.32","59.90","61.29","60.00","59.99","60.77","346.85","59.90","1,45,99,130","88,72,11,372.13","50,476"
